Restaurant,Item,Category,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV)
Arby's,Arby's Melt,Sandwiches,330,100,11,4,0,30,920,40,2,5,18,2,0,8,20
Arby's,Arby-Q Sandwich,Sandwiches,400,90,10,3,0,30,1230,58,3,23,18,4,10,10,20
Arby's,Beef 'n Cheddar Classic,Sandwiches,450,180,20,6,1,50,1280,45,2,9,23,2,2,15,25
Arby's,Beef 'n Cheddar Mid,Sandwiches,630,290,32,11,1.5,100,2100,48,2,9,39,2,2,15,35
Arby's,Bourbon BBQ Brisket Sandwich,Sandwiches,650,300,33,12,1,105,1460,51,2,15,38,NA,NA,NA,NA
Arby's,Bourbon BBQ Chicken Sandwich,Sandwiches,690,280,31,9,0,90,1990,66,3,16,38,NA,NA,NA,NA
Arby's,Bourbon BBQ Steak Sandwich,Sandwiches,690,280,31,9,0,90,1990,66,3,16,38,NA,NA,NA,NA
Arby's,Buttermilk Buffalo Chicken Sandwich,Sandwiches,540,220,24,4.5,0,60,2110,53,2,6,29,NA,NA,NA,NA
Arby's,Buttermilk Chicken Bacon & Swiss,Sandwiches,650,280,31,9,0,90,1750,56,2,9,39,NA,NA,NA,NA
Arby's,Buttermilk Chicken Cordon Bleu Sandwich,Sandwiches,690,310,35,10,0,110,2000,53,1,7,41,NA,NA,NA,NA
Arby's,Buttermilk Crispy Chicken Sandwich,Sandwiches,550,230,26,4.5,0,60,1480,52,2,6,29,NA,NA,NA,NA
Arby's,Classic French Dip & Swiss/Au Jus,Sandwiches,540,210,23,11,1,85,2500,50,2,3,35,2,8,15,25
Arby's,Classic Roast Beef,Sandwiches,360,120,14,5,0.5,50,970,37,2,5,23,0,0,6,25
Arby's,Double Roast Beef,Sandwiches,510,210,24,9,1.5,95,1610,38,2,5,38,0,0,6,35
Arby's,Fire-Roasted Philly Steak,Sandwiches,640,290,32,11,0.5,105,1950,46,3,4,42,NA,NA,NA,NA
Arby's,Grand Turkey Club,Sandwiches,480,220,24,7,0,65,1610,37,2,9,30,15,10,15,15
Arby's,Greek Gyro,Sandwiches,710,390,44,13,0,75,1360,55,4,6,23,NA,NA,NA,NA
Arby's,Half Pound Beef 'n Cheddar Sandwich,Sandwiches,740,350,39,14,2,130,2530,48,2,9,49,NA,NA,NA,NA
Arby's,Half Pound French Dip & Swiss,Sandwiches,750,330,36,17,2,150,3350,51,2,3,55,NA,NA,NA,NA
Arby's,Half Pound Roast Beef Sandwich,Sandwiches,610,270,30,12,2,130,2040,38,2,5,48,NA,NA,NA,NA
Arby's,Ham & Swiss Melt,Sandwiches,300,80,9,4,0,35,1030,37,2,6,18,2,0,15,15
Arby's,Loaded Italian Sandwich,Sandwiches,680,360,40,14,0.5,100,2270,49,3,7,32,NA,NA,NA,NA
Arby's,Pecan Chicken Salad Flatbread,Sandwiches,710,410,46,7,0.5,65,980,53,4,9,22,NA,NA,NA,NA
Arby's,Pecan Chicken Salad Sandwich,Sandwiches,840,400,44,6,0.5,75,1210,81,6,20,33,10,8,25,25
Arby's,2 piece Prime-Cut Chicken Tenders,Sandwiches,240,100,11,1.5,0,30,640,19,1,0,16,0,0,2,6
Arby's,3 piece Prime-Cut Chicken Tenders,Sandwiches,360,150,17,2.5,0,45,950,28,2,0,23,0,4,2,4
Arby's,5 piece Prime-Cut Chicken Tenders,Sandwiches,600,250,28,4,0,75,1590,47,3,0,39,0,8,2,8
Arby's,Reuben Sandwich,Sandwiches,680,280,31,8,0.5,80,2420,62,4,5,37,6,20,35,30
Arby's,Roast Beef Gyro,Sandwiches,550,260,29,7,1,60,1290,48,3,5,24,10,15,10,30
Arby's,Roast Turkey & Swiss Sandwich,Sandwiches,710,260,28,7,0,65,1930,79,5,15,38,20,10,45,30
Arby's,Roast Turkey & Swiss Wrap,Sandwiches,520,240,27,9,0,65,1640,39,4,6,30,20,10,35,20
Arby's,"Roast Turkey, Ranch & Bacon Sandwich",Sandwiches,800,310,34,10,0.5,80,2420,79,5,16,45,20,10,45,30
Arby's,"Roast Turkey, Ranch & Bacon Wrap",Sandwiches,620,310,34,11,0.5,85,2130,39,4,6,37,20,10,30,20
Arby's,Smoke Mountain w/ Beef Short Rib,Sandwiches,740,320,35,13,1,125,2050,62,4,17,43,NA,NA,NA,NA
Arby's,Smokehouse Beef Short Rib Sandwich,Sandwiches,590,250,59,10,1,75,1510,59,4,14,26,NA,NA,NA,NA
Arby's,Smokehouse Brisket,Sandwiches,600,310,35,12,1,110,1240,42,2,7,33,4,8,20,20
Arby's,Super Roast Beef,Sandwiches,430,160,17,5,1,45,1060,45,3,11,23,10,10,8,25
Arby's,Three Cheese Steak Sandwich,Sandwiches,650,320,36,15,1,115,1760,44,2,9,30,NA,NA,NA,NA
Arby's,Triple Decker Sandwich,Sandwiches,1030,459,51,17,1,155,2940,83,5,19,62,NA,NA,NA,NA
Arby's,Turkey Avocado Club,Sandwiches,730,252,28,6,0,65,2140,80,6,16,41,NA,NA,NA,NA
Arby's,Turkey Gyro,Sandwiches,470,180,20,3.5,0,45,1520,48,3,5,25,10,15,10,20
Arby's,Ultimate BLT,Sandwiches,980,495,55,14,0,85,2130,80,6,19,43,NA,NA,NA,NA
Arby's,Buffalo Chicken Slider,Sliders,290,120,13,2,0,20,860,31,2,2,12,NA,NA,NA,NA
Arby's,Chicken Tender 'n Cheese Slider,Sliders,290,110,12,3.5,0,25,720,30,1,1,15,NA,NA,NA,NA
Arby's,Corned Beef 'n Cheese Slider,Sliders,220,80,9,3.5,0,30,890,21,1,1,14,NA,NA,NA,NA
Arby's,Ham 'n Cheese Slider,Sliders,210,70,8,3,0,25,780,21,1,2,13,NA,NA,NA,NA
Arby's,Jalapeno Roast Beef 'n Cheese Slider,Sliders,240,90,11,4.5,0,30,670,21,1,1,14,NA,NA,NA,NA
Arby's,Pizza Slider,Sliders,300,150,17,6,0,35,930,23,1,2,13,NA,NA,NA,NA
Arby's,Roast Beef 'n Cheese Slider,Sliders,240,90,11,4.5,0,30,670,21,1,1,14,NA,NA,NA,NA
Arby's,Turkey 'n Cheese Slider,Sliders,200,60,7,2.5,0,25,760,21,1,2,14,NA,NA,NA,NA
Arby's,Brewed Iced Tea Small,Beverages,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Arby's,CapriSun Fruit Juice,Beverages,80,0,0,0,0,0,25,21,0,20,0,0,0,0,2
Arby's,Coffee,Beverages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arby's,Diet Pepsi,Beverages,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Arby's,Dr Pepper Small,Beverages,180,0,0,0,0,0,45,48,0,48,0,0,0,0,0
Arby's,Mist Twst Small,Beverages,190,0,0,0,0,0,0,50,0,50,0,NA,NA,NA,NA
Arby's,Mountain Dew Small,Beverages,200,0,0,0,0,0,25,54,0,54,0,0,0,0,0
Arby's,Mountain Dew Game Fuel Citrus Cherry,Beverages,100,0,0,0,0,0,65,26,0,25,0,NA,NA,NA,NA
Arby's,Nestle Pure Life Bottled Water,Beverages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arby's,Orange Juice,Beverages,140,0,0,0,0,0,0,33,1,26,2,6,200,2,0
Arby's,Pepsi Small,Beverages,180,0,0,0,0,0,0,49,0,49,0,0,0,0,0
Arby's,Shamrock Farms Lowfat Chocolate Milk,Beverages,150,20,3,2,0,10,170,26,1,23,7,8,4,25,0
Arby's,Shamrock Farms Lowfat White Milk,Beverages,90,20,2,2,0,10,105,10,0,10,7,8,4,25,0
Arby's,Bacon & Cheese Croissant,Breakfast,330,170,19,10,0,50,670,27,1,3,13,NA,NA,NA,NA
Arby's,Bacon Biscuit,Breakfast,340,150,17,10,0,15,1180,36,1,3,12,NA,NA,NA,NA
Arby's,"Bacon, Egg & Cheese Biscuit",Breakfast,480,260,29,15,0,155,1720,38,1,5,18,6,6,25,15
Arby's,"Bacon, Egg & Cheese Croissant",Breakfast,440,250,27,13,0.5,185,1010,29,1,5,18,6,6,25,10
Arby's,"Bacon, Egg & Cheese Sourdough",Breakfast,490,200,23,8,0,155,1260,46,2,6,23,6,6,35,20
Arby's,"Bacon, Egg & Cheese Wrap",Breakfast,500,240,27,10,0,160,1370,42,4,5,20,6,6,35,20
Arby's,Chicken Biscuit,Breakfast,390,160,18,9,0,15,1250,44,2,2,13,0,0,2,10
Arby's,French Toast Sticks,Breakfast,350,90,10,1.5,0,0,250,57,5,13,7,0,0,6,10
Arby's,Ham & Swiss Croissant,Breakfast,340,160,17,10,0,70,910,29,1,4,16,2,0,15,10
Arby's,Ham Biscuit,Breakfast,340,140,16,9,0,30,1420,37,1,4,13,NA,NA,NA,NA
Arby's,"Ham, Egg & Cheese Biscuit",Breakfast,470,220,25,12,0,165,1830,39,1,5,21,6,0,30,15
Arby's,"Ham, Egg & Cheese Croissant",Breakfast,420,210,23,11,0.5,195,1120,30,1,5,21,6,0,30,15
Arby's,"Ham, Egg & Cheese Sourdough",Breakfast,470,170,19,6,0,165,1370,47,2,6,26,6,0,35,20
Arby's,"Ham, Egg & Cheese Wrap",Breakfast,440,200,22,8,0,160,1280,42,4,5,17,6,0,35,20
Arby's,Sausage & Cheese Croissant,Breakfast,490,310,35,16,0,80,940,28,1,3,15,NA,NA,NA,NA
Arby's,Sausage Biscuit,Breakfast,500,300,33,15,0,40,1450,36,1,3,12,2,0,4,10
Arby's,Single Sausage Gravy Biscuit,Breakfast,480,250,28,13,0,20,1770,48,1,3,9,0,0,4,10
Arby's,Double Sausage Gravy Biscuit,Breakfast,970,500,56,27,0,35,3540,96,3,5,18,NA,NA,NA,NA
Arby's,"Sausage, Egg & Cheese Biscuit",Breakfast,640,400,45,20,0,185,1990,39,1,5,20,8,0,30,15
Arby's,"Sausage, Egg & Cheese Croissant",Breakfast,590,390,44,19,0.5,215,1280,30,1,5,20,8,0,30,15
Arby's,"Sausage, Egg & Cheese Sourdough",Breakfast,640,350,39,13,0,185,1530,47,2,6,25,8,0,35,20
Arby's,"Sausage, Egg & Cheese Wrap",Breakfast,630,370,41,15,0,185,1550,42,4,5,20,8,0,40,20
Arby's,Chopped Side Salad,Salads,70,45,5,2.5,0,15,100,4,1,2,5,35,10,10,4
Arby's,Crispy Chicken Farmhouse Salad,Salads,430,220,24,8,0,65,1000,26,4,4,28,60,20,25,8
Arby's,Greek Gyro Salad,Salads,420,340,37,9,0,55,700,11,2,4,10,NA,NA,NA,NA
Arby's,Roast Turkey Farmhouse Salad,Salads,230,120,13,7,0,55,870,8,2,5,22,60,20,25,8
Arby's,Super Greek Salad,Salads,720,480,53,15,0,85,1310,39,5,7,22,NA,NA,NA,NA
Arby's,Arby's Sauce,Sauces and Condiments,15,0,0,0,0,0,180,3,0,2,0,2,2,0,0
Arby's,Balsamic Vinaigrette Dressing,Sauces and Condiments,130,110,12,2,0,0,470,5,0,5,0,0,0,0,0
Arby's,Bronco Berry Sauce,Sauces and Condiments,90,0,0,0,0,0,30,22,0,21,0,0,0,0,0
Arby's,Buffalo Dipping Sauce,Sauces and Condiments,10,10,1,0,0,0,720,1,0,0,0,8,0,0,0
Arby's,Buttermilk Ranch Dressing,Sauces and Condiments,210,200,22,4,0,10,310,2,0,1,0,0,0,2,0
Arby's,Cheddar Cheese Sauce,Sauces and Condiments,50,35,4,1,0,0,360,4,0,0,1,2,0,2,0
Arby's,Cheese Slice,Sauces and Condiments,50,40,4,3,0,15,240,0,0,0,3,2,0,8,0
Arby's,Dijon Honey Mustard Dressing,Sauces and Condiments,180,150,16,3,0,15,230,8,0,7,0,0,0,0,0
Arby's,Honey Mustard Dipping Sauce,Sauces and Condiments,140,120,13,2,0,10,130,5,0,4,0,0,0,0,0
Arby's,Horsey Sauce,Sauces and Condiments,50,45,5,1,0,5,160,3,0,2,0,0,0,0,0
Arby's,Ketchup,Sauces and Condiments,10,0,0,0,0,0,85,3,0,2,0,0,0,0,0
Arby's,Light Italian Dressing,Sauces and Condiments,20,5,1,0,0,0,750,3,0,2,0,0,0,0,0
Arby's,Marinara Sauce,Sauces and Condiments,35,15,2,0,0,0,160,5,1,2,1,8,10,0,2
Arby's,Ranch Dipping Sauce,Sauces and Condiments,160,140,16,4,0,30,280,2,0,1,1,2,0,4,0
Arby's,Spicy Three Pepper,Sauces and Condiments,25,10,1,0,0,0,130,3,0,3,0,4,2,0,0
Arby's,Tangy Barbeque Sauce,Sauces and Condiments,45,0,0,0,0,0,350,11,0,8,0,2,6,0,2
Arby's,Small Andes Mint Chocolate Shake,Shakes & Desserts,310,70,8,5,0,25,210,54,0,49,8,NA,NA,NA,NA
Arby's,Large Andes Mint Chocolate Shake,Shakes & Desserts,830,250,27,19,0.5,75,500,133,1,121,19,NA,NA,NA,NA
Arby's,Apple Turnover,Shakes & Desserts,430,160,18,9,0,0,210,64,2,39,4,0,0,0,10
Arby's,Cherry Turnover,Shakes & Desserts,390,120,13,6,0,0,200,64,2,40,4,8,0,2,8
Arby's,Snack/Kids Chocolate Shake,Shakes & Desserts,320,80,9,6,0,25,240,57,1,49,8,4,4,30,4
Arby's,Small Chocolate Shake,Shakes & Desserts,550,160,18,12,0,55,380,89,1,78,13,6,6,40,4
Arby's,Large Chocolate Shake,Shakes & Desserts,760,210,24,15,0.5,75,540,126,2,111,18,8,8,50,6
Arby's,Small CookieÂ ButterÂ Shake,Shakes & Desserts,540,160,18,11,0,55,370,87,0,77,12,NA,NA,NA,NA
Arby's,Large CookieÂ ButterÂ Shake,Shakes & Desserts,960,270,30,20,0.5,95,670,155,1,139,23,NA,NA,NA,NA
Arby's,Snack/Kids Jamocha Shake,Shakes & Desserts,310,70,6,5,0,25,240,55,0,50,8,4,4,30,2
Arby's,Small Jamocha Shake,Shakes & Desserts,540,150,17,11,0,55,380,87,1,79,13,6,6,40,2
Arby's,Large Jamocha Shake,Shakes & Desserts,750,200,23,15,0.5,75,550,124,1,112,18,8,8,50,4
Arby's,Small Liger Shake,Shakes & Desserts,500,140,15,10,0,45,310,83,1,74,11,NA,NA,NA,NA
Arby's,Large Liger Shake,Shakes & Desserts,680,180,20,13,0,60,440,116,2,104,15,NA,NA,NA,NA
Arby's,Small Orange Cream Shake,Shakes & Desserts,530,150,17,11,0,55,340,86,1,72,12,NA,NA,NA,NA
Arby's,Large Orange Cream Shake,Shakes & Desserts,750,200,22,15,0.5,75,490,124,1,103,18,NA,NA,NA,NA
Arby's,Oreo Bites,Shakes & Desserts,330,190,21,10,0,10,115,32,1,17,4,NA,NA,NA,NA
Arby's,Pumpkin Cheesecake Shake,Shakes & Desserts,650,180,20,13,0,65,440,106,0,96,15,NA,NA,NA,NA
Arby's,Salted Caramel & Chocolate Cookie,Shakes & Desserts,430,160,18,10,0,30,360,63,1,33,4,NA,NA,NA,NA
Arby's,Triple Chocolate Cookie,Shakes & Desserts,450,190,21,13,0,40,370,60,2,31,5,NA,NA,NA,NA
Arby's,Snack/Kids Vanilla Shake,Shakes & Desserts,250,70,8,5,0,25,210,40,0,37,8,4,4,30,0
Arby's,Small Vanilla Shake,Shakes & Desserts,450,150,17,11,0,55,340,67,0,62,12,6,6,40,2
Arby's,Large Vanilla Shake,Shakes & Desserts,630,200,23,15,0.5,75,480,95,1,88,18,8,8,50,2
Arby's,Beef Short Rib Loaded Curly Fries,Sides and Snacks,730,370,41,9,0.5,35,2300,75,6,13,15,NA,NA,NA,NA
Arby's,Snack/Kids Curly Fries,Sides and Snacks,250,120,13,2,0,0,570,29,3,0,3,0,4,0,4
Arby's,Small Curly Fries,Sides and Snacks,410,200,22,3,0,0,940,65,6,0,6,0,0,2,8
Arby's,Medium Curly Fries,Sides and Snacks,550,260,29,4,0,0,1250,65,6,0,6,0,0,2,10
Arby's,Large Curly Fries,Sides and Snacks,650,310,35,5,0,0,1480,77,7,0,8,0,0,4,15
Arby's,GoGo SqueeZ Applesauce,Sides and Snacks,60,0,0,0,0,0,20,15,1,12,0,0,0,0,2
Arby's,Gyro Loaded Curly Fries,Sides and Snacks,820,530,59,12,0,55,1650,57,6,3,14,NA,NA,NA,NA
Arby's,Kids Homestyle Fries,Sides and Snacks,240,100,11,2,0,0,490,33,3,0,3,0,20,2,4
Arby's,Small Homestyle Fries,Sides and Snacks,360,150,17,3,0,0,730,49,5,1,4,0,30,2,6
Arby's,Medium Homestyle Fries,Sides and Snacks,480,200,22,3,0,0,980,66,7,1,6,0,45,2,8
Arby's,Large Homestyle Fries,Sides and Snacks,610,250,28,4,0,0,1220,82,8,1,7,0,50,4,10
Arby's,5 Piece Jalapeno Bites,Sides and Snacks,290,150,17,6,0,25,660,31,2,3,5,8,0,4,4
Arby's,8 Piece Jalapeno Bites,Sides and Snacks,470,240,27,10,0.5,40,1060,50,3,4,8,15,0,6,6
Arby's,Loaded Curly Fries,Sides and Snacks,700,420,46,9,0,35,1990,57,5,2,14,NA,NA,NA,NA
Arby's,4 Piece Mozzarella Sticks,Sides and Snacks,440,210,23,9,0.5,35,1410,37,2,3,19,6,0,60,4
Arby's,6 Piece Mozzarella Sticks,Sides and Snacks,650,310,35,14,1,55,2110,56,3,4,29,10,0,90,4
Arby's,2 Piece Potato Cakes,Sides and Snacks,250,130,14,2,0,0,430,23,2,0,2,0,0,2,2
Arby's,3 Piece Potato Cakes,Sides and Snacks,370,190,21,3,0,0,650,35,4,0,3,0,0,2,4
Arby's,4 Piece Potato Cakes,Sides and Snacks,490,250,28,4.5,0,0,860,46,5,0,4,0,0,2,6
Arby's,Steakhouse Onion Rings,Sides and Snacks,420,190,21,3,0,0,1740,52,3,4,6,0,2,2,4
Baskin-Robbins,Small Cappuccino Blast® (made with Soft Serve),Beverages,280,70,8,6,0,35,110,47,1,41,6,8,2,20,2
Baskin-Robbins,Medium Cappuccino Blast® (made with Soft Serve),Beverages,420,110,12,8,0,50,170,71,1,62,10,15,4,35,2
Baskin-Robbins,Large Cappuccino Blast® (made with Soft Serve),Beverages,540,140,15,10,0,60,220,92,1,80,13,15,4,45,2
Baskin-Robbins,Small Cappuccino Blast® (w/ Whipped Cream),Beverages,330,120,14,9,0,55,110,48,0,42,6,10,2,20,0
Baskin-Robbins,Medium Cappuccino Blast® (w/ Whipped Cream),Beverages,500,190,21,13,1,80,160,74,0,66,9,20,4,30,0
Baskin-Robbins,Large Cappuccino Blast® (w/ Whipped Cream),Beverages,660,250,28,17,1,105,220,97,0,85,12,25,4,40,0
Baskin-Robbins,Small Cappuccino Blast® Caramel,Beverages,510,140,16,10,0,60,310,87,0,72,7,10,2,25,0
Baskin-Robbins,Medium Cappuccino Blast® Caramel,Beverages,670,200,23,14,1,85,370,111,0,94,10,20,4,35,0
Baskin-Robbins,Large Cappuccino Blast® Caramel,Beverages,920,260,29,18,1,110,540,158,0,133,13,25,4,45,2
Baskin-Robbins,Small Cappuccino Blast® Mocha,Beverages,380,100,12,7,0,45,85,64,0,32,5,10,2,20,0
Baskin-Robbins,Medium Cappuccino Blast® Mocha,Beverages,610,170,19,12,1,75,150,104,0,78,9,20,4,30,0
Baskin-Robbins,Large Cappuccino Blast® Mocha,Beverages,750,210,23,15,1,90,170,128,0,64,11,20,4,35,0
Baskin-Robbins,Small Cappuccino Blast® Mocha (w/ Whipped Cream),Beverages,400,120,13,8,0,50,95,65,0,33,6,10,2,20,0
Baskin-Robbins,Medium Cappuccino Blast® Mocha (w/ Whipped Cream),Beverages,620,190,21,13,1,80,160,100,0,51,9,20,4,30,0
Baskin-Robbins,Large Cappuccino Blast® Mocha (w/ Whipped Cream),Beverages,790,230,25,16,1,100,190,136,0,100,11,20,4,35,0
Baskin-Robbins,Small Cappuccino Blast® Original,Beverages,310,110,12,7,0,45,100,47,0,42,6,10,2,20,0
Baskin-Robbins,Medium Cappuccino Blast® Original,Beverages,480,170,19,12,1,75,150,72,0,65,9,20,4,30,0
Baskin-Robbins,Large Cappuccino Blast® Original,Beverages,620,210,24,15,1,95,200,94,0,85,12,20,4,40,0
Baskin-Robbins,Small Cappuccino Blast® Turtle,Beverages,510,140,15,9,0,50,320,89,1,55,6,8,2,20,2
Baskin-Robbins,Medium Cappuccino Blast® Turtle,Beverages,780,200,22,13,0,75,470,137,1,84,10,15,4,30,2
Baskin-Robbins,Large Cappuccino Blast® Turtle,Beverages,960,240,27,16,1,95,600,168,2,103,12,15,4,40,2
Baskin-Robbins,Small Chocolate Chip Cookie Dough Shake,Beverages,750,280,31,20,1,105,310,99,1,88,14,20,4,45,2
Baskin-Robbins,Medium Chocolate Chip Cookie Dough Shake,Beverages,1030,380,42,27,1,140,430,137,1,122,19,30,6,60,2
Baskin-Robbins,Large Chocolate Chip Cookie Dough Shake,Beverages,1690,650,72,46,2,240,710,220,1,195,30,50,8,100,4
Baskin-Robbins,Small Chocolate Chip Shake,Beverages,660,290,32,20,1,115,230,78,1,74,14,25,4,50,10
Baskin-Robbins,Medium Chocolate Chip Shake,Beverages,900,390,44,28,2,150,320,108,2,103,20,35,6,70,15
Baskin-Robbins,Large Chocolate Chip Shake,Beverages,1480,670,75,47,3,260,520,173,3,165,32,60,10,110,25
Baskin-Robbins,Small Chocolate Shake (with Chocolate Ice Cream),Beverages,620,270,30,18,1,105,300,81,1,77,15,25,4,45,8
Baskin-Robbins,Medium Chocolate Shake (with Chocolate Ice Cream),Beverages,990,360,40,25,2,135,440,149,1,142,20,30,6,60,10
Baskin-Robbins,Large Chocolate Shake (with Chocolate Ice Cream),Beverages,1290,520,58,36,2,200,630,176,1,168,28,45,10,90,15
Baskin-Robbins,Small Chocolate Shake (with Vanilla Ice Cream),Beverages,680,300,33,21,1,130,190,84,0,69,13,30,4,45,2
Baskin-Robbins,Medium Chocolate Shake (with Vanilla Ice Cream),Beverages,990,400,44,28,2,175,270,131,0,102,19,40,6,70,2
Baskin-Robbins,Large Chocolate Shake (with Vanilla Ice Cream),Beverages,1300,600,66,42,2,260,420,152,0,130,27,60,10,90,2
Baskin-Robbins,Small Freeze (with Orange Sherbet),Beverages,370,35,4,3,0,15,120,82,0,81,3,4,8,10,0
Baskin-Robbins,Medium Freeze (with Orange Sherbet),Beverages,510,45,5,4,0,20,160,112,1,111,3,4,10,15,2
Baskin-Robbins,Large Freeze (with Orange Sherbet),Beverages,740,70,8,5,0,30,240,164,1,162,5,6,15,20,2
Baskin-Robbins,Small Ice Cream Float (with Vanilla Ice Cream & Root Beer),Beverages,470,180,20,13,1,80,130,69,0,68,6,15,2,20,2
Baskin-Robbins,Medium Ice Cream Float (with Vanilla Ice Cream & Root Beer),Beverages,680,270,30,19,1,120,190,99,0,98,8,20,4,30,2
Baskin-Robbins,Large Ice Cream Float (with Vanilla Ice Cream & Root Beer),Beverages,940,360,40,25,2,155,260,138,0,137,11,30,4,40,4
Baskin-Robbins,Small Ice Cream Soda (with Vanilla Ice Cream),Beverages,480,180,20,13,1,80,130,69,0,68,6,15,2,20,0
Baskin-Robbins,Medium Ice Cream Soda (with Vanilla Ice Cream),Beverages,720,270,30,19,1,120,190,103,0,102,8,20,4,30,2
Baskin-Robbins,Large Ice Cream Soda (with Vanilla Ice Cream),Beverages,960,360,40,25,2,155,260,138,0,136,11,30,4,40,2
Baskin-Robbins,Small Mango Smoothie,Beverages,440,15,2,0,0,0,75,104,2,101,4,140,15,15,2
Baskin-Robbins,Medium Mango Smoothie,Beverages,620,20,2,0,0,5,120,148,3,144,7,190,20,25,2
Baskin-Robbins,Large Mango Smoothie,Beverages,870,25,3,0,0,5,150,209,4,202,8,280,30,30,4
Baskin-Robbins,Small Mint Chocolate Chip Shake,Beverages,680,290,33,20,1,110,240,83,1,79,14,25,6,45,10
Baskin-Robbins,Medium Mint Chocolate Chip Shake,Beverages,930,400,44,28,1,150,330,116,2,111,20,35,6,60,15
Baskin-Robbins,Large Mint Chocolate Chip Shake,Beverages,1520,670,75,47,2,260,540,184,3,175,31,60,10,100,20
Baskin-Robbins,OREO® 'n Cookies Cappuccino Blast® Small,Beverages,500,180,20,10,0,45,350,76,1,57,8,10,2,20,15
Baskin-Robbins,OREO® 'n Cookies Cappuccino Blast® Medium,Beverages,740,260,29,15,1,65,520,113,2,86,12,15,4,30,20
Baskin-Robbins,OREO® 'n Cookies Cappuccino Blast® Large,Beverages,950,330,37,18,1,80,660,147,3,111,15,20,4,40,25
Baskin-Robbins,Small Peach Passion Banana Smoothie,Beverages,420,10,1,0,0,0,70,102,4,92,6,15,50,15,4
Baskin-Robbins,Medium Peach Passion Banana Smoothie,Beverages,540,10,1,0,0,5,110,131,5,120,8,20,60,20,4
Baskin-Robbins,Large Peach Passion Banana Smoothie,Beverages,830,15,2,1,0,5,140,204,8,184,11,35,100,30,8
Baskin-Robbins,Small Peach Passion Fruit Blast,Beverages,270,0,0,0,0,0,10,68,2,65,1,15,40,2,2
Baskin-Robbins,Medium Peach Passion Fruit Blast,Beverages,370,0,1,0,0,0,10,94,3,90,2,25,50,2,4
Baskin-Robbins,Large Peach Passion Fruit Blast,Beverages,540,10,1,0,0,0,15,136,4,131,3,35,80,4,6
Baskin-Robbins,Small Strawberry Banana Smoothie,Beverages,390,0,1,0,0,0,70,94,3,85,5,2,25,15,15
Baskin-Robbins,Medium Strawberry Banana Smoothie,Beverages,560,10,1,0,0,0,110,135,5,118,8,2,40,25,20
Baskin-Robbins,Large Strawberry Banana Smoothie,Beverages,770,10,1,0,0,5,140,188,6,170,10,2,50,30,30
Baskin-Robbins,Small Strawberry Citrus Fruit Blast,Beverages,240,0,0,0,0,0,5,61,1,58,1,0,15,4,15
Baskin-Robbins,Medium Strawberry Citrus Fruit Blast,Beverages,330,0,0,0,0,0,10,83,1,80,1,0,20,4,20
Baskin-Robbins,Large Strawberry Citrus Fruit Blast,Beverages,480,0,0,0,0,0,15,121,2,117,1,2,30,6,30
Baskin-Robbins,Small Strawberry Shake (with Very Berry Strawberry Ice Cream),Beverages,560,210,23,15,1,90,210,76,1,73,12,20,40,45,4
Baskin-Robbins,Medium Strawberry Shake (with Very Berry Strawberry Ice Cream),Beverages,770,280,31,20,1,125,290,105,1,100,17,30,50,60,4
Baskin-Robbins,Large Strawberry Shake (with Very Berry Strawberry Ice Cream),Beverages,1250,470,52,33,2,210,460,170,2,162,27,45,90,100,6
Baskin-Robbins,Small Superfudge Truffle Shake,Beverages,810,330,37,23,1,120,390,112,5,98,16,30,4,40,25
Baskin-Robbins,Medium Superfudge Truffle Shake,Beverages,1180,490,54,33,2,180,560,165,7,144,22,40,6,60,35
Baskin-Robbins,Large Superfudge Truffle Shake,Beverages,1580,650,72,45,2,240,750,220,10,193,30,50,8,80,50
Baskin-Robbins,Small Vanilla Shake,Beverages,670,300,33,21,1,130,370,80,0,73,13,30,4,45,2
Baskin-Robbins,Medium Vanilla Shake,Beverages,980,400,45,28,2,175,640,125,0,117,19,40,6,60,2
Baskin-Robbins,Large Vanilla Shake,Beverages,1290,600,66,42,2,260,650,147,0,143,27,60,10,90,2
Baskin-Robbins,Small Wild Mango Fruit Blast,Beverages,340,10,1,0,0,0,10,84,2,82,1,140,10,2,2
Baskin-Robbins,Medium Wild Mango Fruit Blast,Beverages,470,15,2,0,0,0,15,116,2,113,1,190,15,4,2
Baskin-Robbins,Large Wild Mango Fruit Blast,Beverages,690,20,2,0,0,0,20,169,3,164,1,280,25,4,2
Baskin-Robbins,Brownie a la Mode,Grab-N-Go,260,120,13,9,0,20,130,36,2,26,3,4,0,8,8
Baskin-Robbins,Cake Bites – Chocolate Dipped Strawberry,Grab-N-Go,290,150,17,10,0,15,170,32,2,25,4,2,6,6,15
Baskin-Robbins,Cake Bites – Love Potion #31®,Grab-N-Go,300,160,18,11,0,15,170,32,2,24,4,2,2,6,15
